Names;Mesure0;Mesure1;Mesure2;Mesure3;Mesure4;Mesure5;Mesure6;Mesure7;Mesure8;Mesure9;Mesure10;Mesure11;Mesure12
Canigou;0.5430956047542361;-0.6029976330807958;-1.029047564658147;0.2450135166724445;-0.6086363084420005;0.1942928272942541;-0.3919007609011529;-0.4327095860361007;-0.4139485608946608;0.2475980976902159;-0.8432133115517653;-0.8989424387142086;0.4465551763399733
Canigou;0.5465674706710528;-0.5289949545710018;-1.203806411917719;0.2690877444951918;-0.8221831824011894;0.1835620123455637;-0.3978440748624165;-0.4181770585410846;-0.6414777819631736;0.1315167979458414;-0.8950132495932079;-1.089996977121009;0.3918974023782285
Canigou;0.5565380790439696;-0.5154315776616587;-1.068253578298015;0.2563363253891753;-0.7436636746108248;0.219599611373003;-0.3661995777384578;-0.3972191255995386;-0.3846269562786935;0.09977629882805306;-0.8755131413855886;-1.142076771000563;0.2448375096507398
Canigou;0.5428711349642488;-0.5453897689352945;-1.188785986103668;0.2993720517528073;-0.8366494713271189;0.1762234845461104;-0.4036530192230283;-0.4396674384850564;-0.6400705199484423;0.1428140207032946;-0.9296664942855872;-1.326468115721535;0.1626138118178386
Canigou;0.5356927959979987;-0.5188995890599002;-1.14201302445336;0.299969588121122;-0.8483547949996348;0.1458034088821523;-0.4159512860540256;-0.4634841803598861;-0.8340851094806292;0.1467213853006653;-1.016005912197034;-1.266714117016385;0.2086613873895165
Canigou;0.5453989178827312;-0.5269103699497976;-1.124103916221612;0.2637941541562849;-0.7393665896786034;0.1753099824680702;-0.3921239672750236;-0.4336546770592009;-0.8784502665909657;0.1513719749699811;-0.9491723226931694;-1.110424218930419;0.290869431749206
Canigou;0.5121662416823969;-0.5247708370162459;-1.272149745051746;0.2746714702905235;-0.8497320912877573;0.1504461539361295;-0.4301615480528046;-0.4520060734955865;-0.818439733033858;0.1899391985389127;-0.9913905045108419;-1.367177655517619;0.1538189872205351
Canigou;0.5301748125832293;-0.5311867243024164;-1.14429806210986;0.3055698353165563;-0.7976225218793539;0.1618505032239019;-0.4251206014658085;-0.4712486383203993;-0.4336660731756166;0.1666907147230297;-1.006239646962245;-1.146992762473273;0.2148917454370369
Canigou;0.5477693592606327;-0.5241868760674622;-1.182267433403422;0.2549621353390765;-0.6918881917198723;0.2009493184479096;-0.3793945993748444;-0.4109889110646817;-0.2995119798605392;0.1324442925324349;-0.8718974114852972;-0.9741663629263175;0.1890681813317299
Canigou;0.6279449568337545;-0.7241901103644874;-0.955536732157863;0.3171249251454165;-0.5760232011459505;0.2660937241732224;-0.3198913573240018;-0.4066115662349186;-0.6258306003414231;0.1857317946202344;-0.7068202009318012;-0.7924912868385655;0.582039808046273
Canigou;0.5803252208460723;-0.6518674154922987;-0.8914229038940691;0.2436593150299204;-0.4792505308219192;0.2251121128639744;-0.3653519027293132;-0.4053825671112244;-0.6011637099997985;0.2332654467275299;-0.6400617296648248;-0.8305618460696094;0.5366371631621254
Canigou;0.5242973987856061;-0.6126492298285617;-0.8765862513834213;0.2225061505482682;-0.5053787595481942;0.2190090447318975;-0.3746616715734548;-0.4079339153701557;-0.5660882339842856;0.2737795958648432;-0.5971422894714922;-1.033681622505819;0.2183501907771106
Canigou;0.5926751890357009;-0.6796878838214877;-0.9718801868081403;0.2816530509248967;-0.5831606777856851;0.2439912173436338;-0.3377582745580627;-0.3973909122980334;-0.6023439941580246;0.2027505561589233;-0.6977555773349097;-0.7976676378858151;0.5548866281463012
Canigou;0.6114054452684647;-0.6905065459909094;-1.125184942410896;0.2885115849699695;-0.7849075786798632;0.243237712874667;-0.3354981777125305;-0.401289945404311;-0.9694190965535778;0.1918794611567862;-0.6124155672207983;-1.250123679019196;0.2305064007372439
Canigou;0.5846118739158099;-0.5637701131773512;-1.526581158184527;0.2646806380548024;-1.12864114951249;0.2134213700048426;-0.3620836641299376;-0.4013125358923804;-1.305988264424827;0.1157901370991186;-0.8124986585230666;-1.560903472525748;-0.1058832058060675
Canigou;0.5987464550311086;-0.6125815684654902;-1.253663304927144;0.2916127916120994;-0.8311865589856491;0.2225160249079272;-0.3503213631321119;-0.4030130885034967;-1.008957876159352;0.1252354103257789;-0.7928394199074746;-1.229355284146026;0.165753939231865
Canigou;0.54655996811073;-0.5694421506671125;-1.099639904852693;0.2588668726293966;-0.7549167560156511;0.2180367171432775;-0.3626452548098977;-0.4157569071210098;-0.8270342251787517;0.179772217047995;-0.7303001467414234;-1.157349506290971;0.333356135105825
Champagné;0.5135383567788963;-0.9777599410284183;-1.204880919057765;0.1816384683436518;-0.8859895676727731;0.2518790530141897;-0.3727622080686164;-0.3490243611138306;-0.9856924808649996;0.6316074770196995;-0.5248846738828128;-1.452334006734201;-0.595425005686957
Champagné;0.5912896147926869;-1.038101504086974;-1.013861453512417;0.2173167618775438;-1.001626997095405;0.2136579830185625;-0.4041146335181638;-0.4180504114614563;-0.963536947487266;0.6475455388781983;-0.5998436493416076;-1.520502999922069;-0.3484144833200618
